county_name,date,new_cases,new_deaths
Carbon County,2020-01-26,0,0
Carbon County,2020-02-02,0,0
Carbon County,2020-02-09,0,0
Carbon County,2020-02-16,0,0
Carbon County,2020-02-23,0,0
Carbon County,2020-03-01,0,0
Carbon County,2020-03-08,0,0
Carbon County,2020-03-15,0,0
Carbon County,2020-03-22,3,0
Carbon County,2020-03-29,43,1
Carbon County,2020-04-05,52,2
Carbon County,2020-04-12,38,5
Carbon County,2020-04-19,26,4
Carbon County,2020-04-26,20,3
Carbon County,2020-05-03,13,1
Carbon County,2020-05-10,15,1
Carbon County,2020-05-17,17,5
Carbon County,2020-05-24,8,2
Carbon County,2020-05-31,13,0
Carbon County,2020-06-07,9,0
Carbon County,2020-06-14,10,0
Carbon County,2020-06-21,6,1
Carbon County,2020-06-28,13,1
Carbon County,2020-07-05,11,1
Carbon County,2020-07-12,22,1
Carbon County,2020-07-19,26,0
Carbon County,2020-07-26,14,0
Carbon County,2020-08-02,11,0
Carbon County,2020-08-09,16,0
Carbon County,2020-08-16,27,0
Carbon County,2020-08-23,7,0
Carbon County,2020-08-30,9,0
Carbon County,2020-09-06,7,0
Carbon County,2020-09-13,8,0
Carbon County,2020-09-20,19,0
Carbon County,2020-09-27,10,0
Carbon County,2020-10-04,31,1
Carbon County,2020-10-11,34,0
Carbon County,2020-10-18,29,0
Carbon County,2020-10-25,44,2
Carbon County,2020-11-01,96,1
Carbon County,2020-11-08,138,4
Lehigh County,2020-01-26,0,0
Lehigh County,2020-02-02,0,0
Lehigh County,2020-02-09,0,0
Lehigh County,2020-02-16,0,0
Lehigh County,2020-02-23,0,0
Lehigh County,2020-03-01,0,0
Lehigh County,2020-03-08,0,0
Lehigh County,2020-03-15,13,0
Lehigh County,2020-03-22,96,3
Lehigh County,2020-03-29,695,4
Lehigh County,2020-04-05,816,9
Lehigh County,2020-04-12,521,13
Lehigh County,2020-04-19,410,21
Lehigh County,2020-04-26,345,33
Lehigh County,2020-05-03,273,37
Lehigh County,2020-05-10,271,19
Lehigh County,2020-05-17,188,63
Lehigh County,2020-05-24,119,26
Lehigh County,2020-05-31,99,20
Lehigh County,2020-06-07,93,19
Lehigh County,2020-06-14,133,11
Lehigh County,2020-06-21,133,14
Lehigh County,2020-06-28,98,15
Lehigh County,2020-07-05,121,17
Lehigh County,2020-07-12,117,8
Lehigh County,2020-07-19,126,2
Lehigh County,2020-07-26,161,1
Lehigh County,2020-08-02,106,2
Lehigh County,2020-08-09,125,4
Lehigh County,2020-08-16,60,1
Lehigh County,2020-08-23,65,1
Lehigh County,2020-08-30,88,2
Lehigh County,2020-09-06,94,0
Lehigh County,2020-09-13,103,1
Lehigh County,2020-09-20,128,7
Lehigh County,2020-09-27,134,1
Lehigh County,2020-10-04,210,3
Lehigh County,2020-10-11,168,4
Lehigh County,2020-10-18,267,4
Lehigh County,2020-10-25,435,1
Lehigh County,2020-11-01,628,6
Lehigh County,2020-11-08,893,0
Northampton County,2020-01-26,0,0
Northampton County,2020-02-02,0,0
Northampton County,2020-02-09,0,0
Northampton County,2020-02-16,0,0
Northampton County,2020-02-23,0,0
Northampton County,2020-03-01,0,0
Northampton County,2020-03-08,1,0
Northampton County,2020-03-15,16,1
Northampton County,2020-03-22,77,3
Northampton County,2020-03-29,494,7
Northampton County,2020-04-05,451,12
Northampton County,2020-04-12,357,6
Northampton County,2020-04-19,384,20
Northampton County,2020-04-26,402,45
Northampton County,2020-05-03,247,64
